title,english_title,year,type
Double Jeopardy,Double Jeopardy,1999,film
Three Kings,Three Kings,1999,film
Dogma,Dogma,1999,film
Random Hearts,Random Hearts,1999,film
Fight Club,Fight Club,1999,film
Bringing Out the Dead,Bringing Out the Dead,1999,film
The Insider,The Insider,1999,film
Toy Story 2,Toy Story 2,1999,film
The Bone Collector,The Bone Collector,1999,film
The World Is Not Enough,The World Is Not Enough,1999,film
The Green Mile,The Green Mile,1999,film
Stuart Little,Stuart Little,1999,film
Titus,Titus,1999,film
Angela's Ashes,Angela's Ashes,1999,film
The Talented Mr. Ripley,The Talented Mr. Ripley,1999,film
The Little Mermaid II: Return to the Sea,The Little Mermaid II: Return to the Sea,2000,film
Saving Grace,Saving Grace,2000,film
The Beach,The Beach,2000,film
Scream 3,Scream 3,2000,film
Pitch Black,Pitch Black,2000,film
The Whole Nine Yards,The Whole Nine Yards,2000,film
Boiler Room,Boiler Room,2000,film
Final Destination,Final Destination,2000,film
Taxi 2,Taxi 2,2000,film
American Psycho,American Psycho,2000,film
U-571,U-571,2000,film
Where the Heart Is,Where the Heart Is,2000,film
Gladiator,Gladiator,2000,film
Center Stage,Center Stage,2000,film
Mission: Impossible II,Mission: Impossible II,2000,film
Gone in Sixty Seconds,Gone in Sixty Seconds,2000,film
Titan A.E.,Titan A.E.,2000,film
Chicken Run,Chicken Run,2000,film
The Patriot,The Patriot,2000,film
The Perfect Storm,The Perfect Storm,2000,film
Scary Movie,Scary Movie,2000,film
X-Men,X-Men,2000,film
What Lies Beneath,What Lies Beneath,2000,film
Coyote Ugly,Coyote Ugly,2000,film
Space Cowboys,Space Cowboys,2000,film
DragonHeart: A New Beginning,DragonHeart: A New Beginning,2000,film
Snatch,Snatch,2000,film
Men of Honor,Men of Honor,2000,film
Almost Famous,Almost Famous,2000,film
The Crimson Rivers,The Crimson Rivers,2000,film
Remember the Titans,Remember the Titans,2000,film
Requiem for a Dream,Requiem for a Dream,2000,film
Meet the Parents,Meet the Parents,2000,film
Memento,Memento,2000,film
Pay It Forward,Pay It Forward,2000,film
Book of Shadows: Blair Witch 2,Book of Shadows: Blair Witch 2,2000,film
The Legend of Bagger Vance,The Legend of Bagger Vance,2000,film
Charlie's Angels,Charlie's Angels,2000,film
How the Grinch Stole Christmas,How the Grinch Stole Christmas,2000,film
Unbreakable,Unbreakable,2000,film
No More School,No More School,2000,film
Proof of Life,Proof of Life,2000,film
The Family Man,The Family Man,2000,film
What Women Want,What Women Want,2000,film
The Emperor's New Groove,The Emperor's New Groove,2000,film
Battle Royale,Battle Royale,2000,film
Cast Away,Cast Away,2000,film
Miss Congeniality,Miss Congeniality,2000,film
Thirteen Days,Thirteen Days,2000,film
Traffic,Traffic,2000,film
Antitrust,Antitrust,2001,film
Save the Last Dance,Save the Last Dance,2001,film
Donnie Darko,Donnie Darko,2001,film
The Pledge,The Pledge,2001,film
Brotherhood of the Wolf,Brotherhood of the Wolf,2001,film
From Hell,From Hell,2001,film
Hannibal,Hannibal,2001,film
Sweet November,Sweet November,2001,film
Enemy at the Gates,Enemy at the Gates,2001,film
The Experiment,The Experiment,2001,film
Along Came a Spider,Along Came a Spider,2001,film
Crocodile Dundee in Los Angeles,Crocodile Dundee in Los Angeles,2001,film
Bridget Jones's Diary,Bridget Jones's Diary,2001,film
Amélie,Amélie,2001,film
The Mummy Returns,The Mummy Returns,2001,film
A Knight's Tale,A Knight's Tale,2001,film
Shrek,Shrek,2001,film
Moulin Rouge!,Moulin Rouge!,2001,film
Pearl Harbor,Pearl Harbor,2001,film
Metropolis,Metropolis,2001,film
Evolution,Evolution,2001,film
Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,2001,film
The Fast and the Furious,The Fast and the Furious,2001,film
Cats & Dogs,Cats & Dogs,2001,film
A.I. Artificial Intelligence,A.I. Artificial Intelligence,2001,film
Jeepers Creepers,Jeepers Creepers,2001,film
Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,2001,film
Scary Movie 2,Scary Movie 2,2001,film
Manitou's Shoe,Manitou's Shoe,2001,film
Jurassic Park III,Jurassic Park III,2001,film
Spirited Away,Spirited Away,2001,film
The Others,The Others,2001,film
Rush Hour 2,Rush Hour 2,2001,film
American Pie 2,American Pie 2,2001,film
Zoolander,Zoolander,2001,film
